execution_id,case_id,condition,topology,memory,mentions,facts,candidates,EQUIVALENT,A_ENTAILS_B,B_ENTAILS_A,UNRELATED,oneway,oneway_share_related,oneway_source_involved,oneway_parallel,oneway_invisible,oneway_peer_weaken,oneway_peer_strengthen,oneway_self_weaken,oneway_self_strengthen,oneway_same_cluster,unrelated_same_cluster,peer_weaken_fact_pairs,peer_weaken_text_pairs,peer_weaken_target_facts,peer_strengthen_fact_pairs,peer_strengthen_text_pairs,peer_strengthen_target_facts,self_weaken_fact_pairs,self_weaken_text_pairs,self_weaken_target_facts,self_equivalent_fact_pairs,self_equivalent_text_pairs,self_equivalent_target_facts,peer_equivalent_fact_pairs,peer_equivalent_text_pairs,peer_equivalent_target_facts,self_strengthen_fact_pairs,self_strengthen_text_pairs,self_strengthen_target_facts,peer_weaken_distinct_cluster_pairs,weaken_same_cluster_edges,weaken_same_cluster_target_facts,weaken_latest_delivery_edges,weaken_latest_delivery_target_facts,weaken_new_weak_edges,weaken_new_weak_target_facts,weaken_conservative_candidate_edges,weaken_conservative_candidate_target_facts,weaken_strong_retained_edges,weaken_strong_retained_target_facts,weaken_weak_in_self_edges,weaken_weak_in_self_target_facts,weaken_weak_in_peer_edges,weaken_weak_in_peer_target_facts,weaken_weak_in_source_edges,weaken_weak_in_source_target_facts,later_output_mentions,later_peer_weaken_targets,later_peer_strengthen_targets,later_peer_related_targets,later_peer_weaken_without_peer_equivalence_targets,weaken_target_rate,strengthen_target_rate,conservative_target_rate,two_step_weaken_paths,two_step_distinct_fact_paths
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,full,cumulative,478,331,3218,334,318,372,2194,690,0.673828125,57,188,0,120,176,68,81,121,104,89,120,64,116,174,89,58,68,50,33,78,46,74,156,74,65,81,50,83,25,10,100,61,54,37,40,34,44,21,49,18,62,25,12,3,298,74,104,186,36,0.2483221476510067,0.348993288590604,0.12546125461254612,11,8
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,full,cumulative,396,318,2760,163,228,369,2000,597,0.7855263157894737,100,137,0,76,154,47,83,53,29,66,76,41,135,153,76,44,47,34,23,34,27,34,67,42,71,83,54,62,8,6,58,38,34,24,25,22,20,14,38,14,36,15,11,4,221,42,82,125,25,0.19004524886877827,0.37104072398190047,0.10426540284360189,3,1
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,full,cumulative,383,312,2342,147,209,243,1743,452,0.7545909849749582,64,115,0,61,110,46,56,29,26,52,61,36,77,106,58,43,46,30,18,21,16,44,73,47,50,56,39,48,7,5,57,33,38,23,29,17,20,14,12,6,21,11,6,1,310,37,63,120,25,0.11935483870967742,0.2032258064516129,0.05782312925170068,4,1
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,full,cumulative,478,419,2745,100,213,257,2175,470,0.8245614035087719,53,161,0,73,94,30,59,17,5,70,73,51,83,94,62,30,30,24,20,24,24,21,31,26,58,59,50,65,5,5,69,50,57,38,53,37,5,5,6,6,14,11,2,1,366,51,64,112,43,0.13934426229508196,0.17486338797814208,0.10192837465564739,1,1
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,full,cumulative,421,303,2787,274,332,274,1907,606,0.6886363636363636,77,144,0,105,148,38,94,78,29,87,99,78,101,136,89,34,37,34,26,50,47,46,100,74,80,89,65,81,14,12,83,68,70,51,54,41,19,16,24,16,29,25,9,7,234,78,89,168,54,0.3333333333333333,0.3803418803418803,0.1752136752136752,10,9
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,full,cumulative,411,305,2681,248,258,320,1855,578,0.6997578692493946,85,139,0,77,156,52,69,57,23,67,74,54,122,154,99,50,52,38,33,48,40,67,120,92,59,67,54,61,8,7,59,45,44,28,32,24,16,14,13,9,29,24,3,3,251,54,99,178,25,0.2151394422310757,0.3944223107569721,0.0975609756097561,2,2
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,full,cumulative,399,340,2342,180,196,183,1783,379,0.6779964221824687,73,121,0,73,45,50,17,25,2,65,71,43,45,45,33,45,50,31,21,30,22,45,64,52,17,17,15,60,8,5,65,41,46,30,37,27,11,7,18,7,25,12,1,1,278,43,33,104,28,0.15467625899280577,0.11870503597122302,0.09926470588235294,2,0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,full,cumulative,401,340,2525,170,190,215,1950,405,0.7043478260869566,83,103,0,62,84,34,39,19,15,55,61,42,79,84,60,33,34,28,31,35,27,46,61,49,38,39,33,53,4,3,49,36,46,28,42,26,6,5,7,6,13,11,0,0,288,43,60,123,26,0.14930555555555555,0.20833333333333334,0.0912280701754386,0,0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,full,cumulative,321,237,2334,190,186,142,1816,328,0.6332046332046332,27,69,0,80,77,41,34,78,57,56,75,50,54,74,50,34,41,32,26,49,39,24,76,43,26,34,28,50,21,14,55,36,36,26,25,20,27,20,38,19,42,22,25,11,190,52,52,108,33,0.2736842105263158,0.2736842105263158,0.10752688172043011,7,2
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,full,cumulative,286,221,2057,127,162,211,1557,373,0.746,41,91,0,59,106,28,48,45,20,49,55,41,83,105,61,26,28,24,18,28,27,29,64,42,41,48,33,47,3,3,45,33,33,20,26,18,6,5,12,10,21,17,3,3,167,41,61,103,21,0.24550898203592814,0.3652694610778443,0.1111111111111111,5,5
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,full,cumulative,267,229,1659,92,97,143,1327,240,0.7228915662650602,33,76,0,42,44,22,23,16,16,33,42,27,29,44,31,20,22,18,10,23,18,12,38,25,21,23,18,31,4,2,34,25,25,19,24,18,5,3,14,6,16,7,0,0,165,28,33,67,20,0.1696969696969697,0.2,0.1111111111111111,4,2
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-2,split-specialist-aligned,full,cumulative,289,232,1843,114,162,139,1428,301,0.7253012048192771,36,79,0,50,53,47,36,23,10,44,50,35,41,53,33,44,47,38,19,40,21,19,41,23,26,36,23,42,3,3,41,31,33,25,28,22,6,6,7,4,13,8,0,0,202,36,35,79,29,0.1782178217821782,0.17326732673267325,0.11518324607329843,2,2
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-24,full-generic,full,cumulative,241,160,1617,202,172,192,1051,364,0.6431095406360424,45,92,0,71,96,30,30,67,37,50,70,39,69,93,53,22,29,17,12,43,28,20,95,42,25,30,25,45,10,10,53,34,25,18,17,15,17,16,34,14,43,20,5,3,158,40,53,100,22,0.25316455696202533,0.33544303797468356,0.10416666666666667,2,2
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-24,full-specialist,full,cumulative,314,213,2127,205,246,309,1367,555,0.7302631578947368,46,132,0,138,98,80,61,48,22,115,136,72,81,96,63,73,80,53,29,44,38,44,83,54,56,61,43,110,7,7,105,68,69,39,51,34,19,17,44,24,60,29,9,6,210,76,64,144,46,0.3619047619047619,0.3047619047619048,0.17801047120418848,9,4
