execution_id,case_id,condition,EQUIVALENT,A_ENTAILS_B,B_ENTAILS_A,UNRELATED,oneway_share_related,oneway_peer_weaken,oneway_peer_strengthen,weaken_target_rate,strengthen_target_rate,threshold
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,463,373,425,1957,0.6328310864393338,140,185,0.2986577181208054,0.3691275167785235,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,388,354,405,2071,0.6617262423714037,135,182,0.2785234899328859,0.3624161073825503,2.64
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,334,318,372,2194,0.673828125,120,176,0.2483221476510067,0.348993288590604,5.28
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,279,288,356,2295,0.6977248104008668,115,162,0.24161073825503357,0.31208053691275167,7.92
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,223,269,293,2433,0.7159235668789808,102,140,0.22483221476510068,0.28187919463087246,10.56
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,250,271,409,1830,0.7311827956989247,86,191,0.21266968325791855,0.42081447963800905,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,210,249,383,1918,0.7505938242280285,79,171,0.19909502262443438,0.3891402714932127,2.64
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,163,228,369,2000,0.7855263157894737,76,154,0.19004524886877827,0.37104072398190047,5.28
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,124,211,351,2074,0.8192419825072886,66,142,0.18099547511312217,0.3665158371040724,7.92
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,82,178,327,2173,0.8603066439522998,65,123,0.17194570135746606,0.34841628959276016,10.56
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,221,236,261,1624,0.692200557103064,61,124,0.12258064516129032,0.23225806451612904,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,188,216,247,1691,0.7112135176651305,60,120,0.11612903225806452,0.22580645161290322,2.64
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,147,209,243,1743,0.7545909849749582,61,110,0.11935483870967742,0.2032258064516129,5.28
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,123,179,228,1812,0.7679245283018868,50,105,0.1064516129032258,0.1935483870967742,7.92
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,104,149,202,1887,0.7714285714285715,39,97,0.08387096774193549,0.16774193548387098,10.56
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,174,250,296,2025,0.7583333333333333,89,97,0.16120218579234974,0.1885245901639344,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,135,227,283,2100,0.7906976744186046,83,93,0.15027322404371585,0.1721311475409836,2.64
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,100,213,257,2175,0.8245614035087719,73,94,0.13934426229508196,0.17486338797814208,5.28
