execution_id,case_id,condition,agent,round,n,source,self,peer,unmerged_equivalent,transformed,unmatched,exact_unmatched,source_rate,self_rate,peer_rate,unmerged_equivalent_rate,transformed_rate,unmatched_rate,exact_unmatched_rate
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,1,50,1,0,0,0,5,44,49,0.02,0.0,0.0,0.0,0.1,0.88,0.98
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,2,54,1,6,2,4,15,26,45,0.018518518518518517,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.2777777777777778,0.48148148148148145,0.8333333333333334
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,3,48,1,6,6,7,21,7,35,0.020833333333333332,0.125,0.125,0.14583333333333334,0.4375,0.14583333333333334,0.7291666666666666
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,1,35,2,0,0,0,4,29,33,0.05714285714285714,0.0,0.0,0.0,0.11428571428571428,0.8285714285714286,0.9428571428571428
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,2,42,1,5,4,1,16,15,32,0.023809523809523808,0.11904761904761904,0.09523809523809523,0.023809523809523808,0.38095238095238093,0.35714285714285715,0.7619047619047619
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,3,35,1,7,3,5,13,6,24,0.02857142857142857,0.2,0.08571428571428572,0.14285714285714285,0.37142857142857144,0.17142857142857143,0.6857142857142857
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,1,36,2,0,0,0,6,28,34,0.05555555555555555,0.0,0.0,0.0,0.16666666666666666,0.7777777777777778,0.9444444444444444
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,2,52,1,8,5,5,12,21,38,0.019230769230769232,0.15384615384615385,0.09615384615384616,0.09615384615384616,0.23076923076923078,0.40384615384615385,0.7307692307692307
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,C,3,40,1,8,2,7,9,13,29,0.025,0.2,0.05,0.175,0.225,0.325,0.725
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,1,43,2,0,0,0,16,25,41,0.046511627906976744,0.0,0.0,0.0,0.37209302325581395,0.5813953488372093,0.9534883720930233
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,2,29,2,2,3,3,10,9,22,0.06896551724137931,0.06896551724137931,0.10344827586206896,0.10344827586206896,0.3448275862068966,0.3103448275862069,0.7586206896551724
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,A,3,35,1,5,2,5,13,9,27,0.02857142857142857,0.14285714285714285,0.05714285714285714,0.14285714285714285,0.37142857142857144,0.2571428571428571,0.7714285714285715
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,B,1,50,2,0,0,0,11,37,48,0.04,0.0,0.0,0.0,0.22,0.74,0.96
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,B,2,33,1,3,2,2,17,8,27,0.030303030303030304,0.09090909090909091,0.06060606060606061,0.06060606060606061,0.5151515151515151,0.24242424242424243,0.8181818181818182
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,B,3,34,2,3,2,4,15,8,27,0.058823529411764705,0.08823529411764706,0.058823529411764705,0.11764705882352941,0.4411764705882353,0.23529411764705882,0.7941176470588235
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,C,1,43,2,0,0,4,7,30,41,0.046511627906976744,0.0,0.0,0.09302325581395349,0.16279069767441862,0.6976744186046512,0.9534883720930233
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,C,2,36,1,2,0,4,12,17,33,0.027777777777777776,0.05555555555555555,0.0,0.1111111111111111,0.3333333333333333,0.4722222222222222,0.9166666666666666
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,C,3,44,1,5,2,2,17,17,36,0.022727272727272728,0.11363636363636363,0.045454545454545456,0.045454545454545456,0.38636363636363635,0.38636363636363635,0.8181818181818182
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,A,1,30,1,0,0,0,7,22,29,0.03333333333333333,0.0,0.0,0.0,0.23333333333333334,0.7333333333333333,0.9666666666666667
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,A,2,53,0,0,1,2,12,38,52,0.0,0.0,0.018867924528301886,0.03773584905660377,0.22641509433962265,0.7169811320754716,0.9811320754716981
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,A,3,53,1,7,11,6,17,11,34,0.018867924528301886,0.1320754716981132,0.20754716981132076,0.11320754716981132,0.32075471698113206,0.20754716981132076,0.6415094339622641
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,B,1,7,0,0,0,0,4,3,7,0.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,1.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,B,2,41,0,1,0,7,4,29,40,0.0,0.024390243902439025,0.0,0.17073170731707318,0.0975609756097561,0.7073170731707317,0.975609756097561
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,B,3,43,0,1,10,4,14,14,32,0.0,0.023255813953488372,0.23255813953488372,0.09302325581395349,0.32558139534883723,0.32558139534883723,0.7441860465116279
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,C,1,2,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,C,2,60,0,0,5,2,9,44,55,0.0,0.0,0.08333333333333333,0.03333333333333333,0.15,0.7333333333333333,0.9166666666666666
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,C,3,44,0,8,1,1,20,14,35,0.0,0.18181818181818182,0.022727272727272728,0.022727272727272728,0.45454545454545453,0.3181818181818182,0.7954545454545454
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,A,1,41,2,0,0,0,3,36,39,0.04878048780487805,0.0,0.0,0.0,0.07317073170731707,0.8780487804878049,0.9512195121951219
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,A,2,40,0,5,2,0,5,28,33,0.0,0.125,0.05,0.0,0.125,0.7,0.825
