execution_id,case_id,condition,output_facts,non_source_facts,eligible_facts,exact_dead_rate,equivalence_dead_rate,typed_dead_rate,rescued_dead,rescued_dead_rate,exact_spread_fanout,typed_spread_fanout,eligible_non_source,non_source_exact_spread,non_source_typed_spread,abstraction_meeting_points,specificity_meeting_points,profile_tv_r1,profile_tv_r2,profile_tv_r3,production_A,spread_credit_A,final_shared_credit_A,final_shared_credit_share_A,production_B,spread_credit_B,final_shared_credit_B,final_shared_credit_share_B,production_C,spread_credit_C,final_shared_credit_C,final_shared_credit_share_C,path_equivalent>equivalent,path_weaken>weaken,path_strengthen>strengthen,path_weaken>strengthen,path_strengthen>weaken,path_equivalent>weaken,path_weaken>equivalent,path_equivalent>strengthen,path_strengthen>equivalent,closed_weaken_strengthen,private_source_adoptions,all_peer_adoptions
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,301,299,207,0.8985507246376812,0.7584541062801933,0.42028985507246375,70,0.445859872611465,1.0476190476190477,1.325,206,21,120,11,10,0.06867724867724867,0.15133631800298467,0.19384920634920635,121.5,3.5,1.1666666666666665,0.19444444444444442,84.0,6.5,2.6666666666666665,0.4444444444444444,93.5,11.0,2.1666666666666665,0.3611111111111111,19,11,26,32,22,10,13,34,18,4,0,22
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,288,286,193,0.9533678756476683,0.8756476683937824,0.49740932642487046,73,0.4319526627218935,1.2222222222222223,1.3917525773195876,193,9,97,7,17,0.15581395348837207,0.21403692093347265,0.14076903488668194,83.66666666666666,2.5,3.1666666666666665,0.4523809523809524,97.16666666666666,1.0,0.6666666666666666,0.09523809523809523,105.16666666666666,5.5,3.1666666666666665,0.4523809523809524,12,3,13,3,50,10,3,17,12,0,0,11
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,281,280,183,0.8743169398907104,0.7868852459016393,0.48633879781420764,55,0.3819444444444444,1.2173913043478262,1.3085106382978724,182,22,93,3,8,0.39206349206349206,0.13333077670399346,0.24318879891499462,113.0,7.0,4.5,0.32142857142857145,77.5,2.5,2.5,0.17857142857142858,89.5,12.5,7.0,0.5,5,3,5,13,1,1,2,6,6,4,1,28
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,390,387,243,0.9465020576131687,0.9094650205761317,0.5473251028806584,88,0.39819004524886875,1.3846153846153846,1.209090909090909,240,12,108,1,11,0.1237870443220561,0.13747870237851836,0.21921674103959082,137.83333333333334,0,2.833333333333333,0.23611111111111108,115.33333333333334,5.0,5.333333333333333,0.4444444444444444,133.83333333333334,7.0,3.833333333333333,0.3194444444444444,3,1,1,19,7,1,1,3,1,0,0,18
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,266,261,195,0.8769230769230769,0.8512820512820513,0.441025641025641,80,0.4819277108433735,1.25,1.3577981651376148,191,22,105,9,21,0.10513024986709199,0.19966919385524037,0.173015873015873,67.0,6.5,5.5,0.36666666666666664,103.0,10.5,8.0,0.5333333333333333,91.0,5.0,1.4999999999999998,0.09999999999999999,26,10,8,33,22,19,11,11,23,11,0,30
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,268,265,199,0.8090452261306532,0.7185929648241206,0.34673366834170855,74,0.5174825174825175,1.263157894736842,1.4384615384615385,196,35,127,9,21,0.12698412698412698,0.25698882657275773,0.23871366728509585,89.83333333333334,7.5,2.833333333333333,0.23611111111111108,91.83333333333334,7.5,3.833333333333333,0.3194444444444444,83.33333333333333,20.0,5.333333333333333,0.4444444444444444,28,2,14,32,23,5,8,21,26,14,0,48
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,304,300,210,0.9095238095238095,0.8476190476190476,0.5952380952380952,53,0.29775280898876405,1.263157894736842,1.3176470588235294,206,17,82,8,6,0.23409961685823757,0.17712938402593573,0.20051296941540844,109.33333333333334,6.5,2.833333333333333,0.3541666666666667,86.83333333333334,6.0,3.833333333333333,0.4791666666666667,103.83333333333334,4.5,1.3333333333333333,0.16666666666666669,11,2,0,6,7,10,5,4,2,0,3,24
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,303,300,180,0.8888888888888888,0.7888888888888889,0.4666666666666667,58,0.4084507042253521,1.25,1.3125,177,18,93,3,7,0.20353535353535357,0.22097002663040402,0.1478369125427949,92.5,6.0,5.0,0.3333333333333333,94.5,6.0,5.5,0.36666666666666664,113.0,6.0,4.5,0.3,3,0,10,4,13,3,0,8,3,0,2,25
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,206,203,133,0.9097744360902256,0.8947368421052632,0.5413533834586466,47,0.3949579831932773,1.25,1.3278688524590163,132,11,60,8,4,0.06600189933523266,0.2602884615384615,0.23771929824561405,54.5,3.0,1.1666666666666665,0.12962962962962962,65.0,5.0,4.166666666666666,0.4629629629629629,83.5,3.0,3.6666666666666665,0.4074074074074074,20,7,3,25,13,9,19,9,7,12,0,15
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,188,187,130,0.8769230769230769,0.8076923076923077,0.36923076923076925,57,0.5428571428571428,1.3125,1.4146341463414633,130,16,82,4,16,0.08104575163398695,0.193015873015873,0.2551930596285435,64.83333333333333,5.5,2.333333333333333,0.25925925925925924,53.83333333333333,1.5,1.8333333333333333,0.2037037037037037,68.33333333333333,9.0,4.833333333333333,0.537037037037037,14,5,14,13,11,1,14,12,17,1,0,21
