execution_id,case_id,condition,source_round,sender,receiver,source_n,target_n,equivalent_n,equivalent_rate,weaken_n,weaken_rate,strengthen_n,strengthen_rate,related_n,related_rate,screened_equivalent_n,screened_equivalent_rate,screened_weaken_n,screened_weaken_rate,screened_strengthen_n,screened_strengthen_rate,screened_related_n,screened_related_rate
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,1,A,B,50,42,8,0.19047619047619047,8,0.19047619047619047,6,0.14285714285714285,15,0.35714285714285715,4,0.09523809523809523,4,0.09523809523809523,3,0.07142857142857142,9,0.21428571428571427
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,1,A,C,50,52,11,0.21153846153846154,6,0.11538461538461539,7,0.1346153846153846,19,0.36538461538461536,2,0.038461538461538464,1,0.019230769230769232,2,0.038461538461538464,5,0.09615384615384616
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,1,B,A,35,54,2,0.037037037037037035,2,0.037037037037037035,7,0.12962962962962962,10,0.18518518518518517,0,0.0,1,0.018518518518518517,2,0.037037037037037035,3,0.05555555555555555
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,1,B,C,35,52,13,0.25,4,0.07692307692307693,11,0.21153846153846154,20,0.38461538461538464,5,0.09615384615384616,1,0.019230769230769232,4,0.07692307692307693,9,0.17307692307692307
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,1,C,A,36,54,6,0.1111111111111111,7,0.12962962962962962,12,0.2222222222222222,23,0.42592592592592593,2,0.037037037037037035,4,0.07407407407407407,4,0.07407407407407407,10,0.18518518518518517
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,1,C,B,36,42,8,0.19047619047619047,12,0.2857142857142857,5,0.11904761904761904,18,0.42857142857142855,2,0.047619047619047616,7,0.16666666666666666,2,0.047619047619047616,10,0.23809523809523808
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,A,B,54,35,4,0.11428571428571428,7,0.2,4,0.11428571428571428,12,0.34285714285714286,1,0.02857142857142857,6,0.17142857142857143,2,0.05714285714285714,8,0.22857142857142856
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,A,C,54,40,7,0.175,7,0.175,6,0.15,15,0.375,2,0.05,4,0.1,3,0.075,8,0.2
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,A,42,48,5,0.10416666666666667,11,0.22916666666666666,14,0.2916666666666667,25,0.5208333333333334,3,0.0625,4,0.08333333333333333,8,0.16666666666666666,14,0.2916666666666667
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,C,42,40,10,0.25,2,0.05,8,0.2,18,0.45,7,0.175,0,0.0,3,0.075,10,0.25
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,C,A,52,48,9,0.1875,4,0.08333333333333333,10,0.20833333333333334,20,0.4166666666666667,5,0.10416666666666667,2,0.041666666666666664,5,0.10416666666666667,11,0.22916666666666666
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,C,B,52,35,8,0.22857142857142856,2,0.05714285714285714,8,0.22857142857142856,16,0.45714285714285713,5,0.14285714285714285,1,0.02857142857142857,5,0.14285714285714285,11,0.3142857142857143
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,1,A,B,43,33,5,0.15151515151515152,0,0.0,8,0.24242424242424243,13,0.3939393939393939,1,0.030303030303030304,0,0.0,7,0.21212121212121213,8,0.24242424242424243
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,1,A,C,43,36,0,0.0,3,0.08333333333333333,5,0.1388888888888889,8,0.2222222222222222,0,0.0,2,0.05555555555555555,3,0.08333333333333333,5,0.1388888888888889
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,1,B,A,50,29,1,0.034482758620689655,3,0.10344827586206896,3,0.10344827586206896,6,0.20689655172413793,0,0.0,1,0.034482758620689655,3,0.10344827586206896,4,0.13793103448275862
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,1,B,C,50,36,3,0.08333333333333333,3,0.08333333333333333,5,0.1388888888888889,9,0.25,2,0.05555555555555555,1,0.027777777777777776,3,0.08333333333333333,5,0.1388888888888889
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,1,C,A,43,29,8,0.27586206896551724,3,0.10344827586206896,5,0.1724137931034483,14,0.4827586206896552,4,0.13793103448275862,2,0.06896551724137931,3,0.10344827586206896,8,0.27586206896551724
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,1,C,B,43,33,6,0.18181818181818182,1,0.030303030303030304,15,0.45454545454545453,18,0.5454545454545454,2,0.06060606060606061,1,0.030303030303030304,13,0.3939393939393939,14,0.42424242424242425
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,2,A,B,29,34,3,0.08823529411764706,3,0.08823529411764706,1,0.029411764705882353,6,0.17647058823529413,2,0.058823529411764705,0,0.0,1,0.029411764705882353,3,0.08823529411764706
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,2,A,C,29,44,2,0.045454545454545456,3,0.06818181818181818,6,0.13636363636363635,10,0.22727272727272727,0,0.0,0,0.0,3,0.06818181818181818,3,0.06818181818181818
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,2,B,A,33,35,4,0.11428571428571428,7,0.2,3,0.08571428571428572,13,0.37142857142857144,1,0.02857142857142857,3,0.08571428571428572,0,0.0,4,0.11428571428571428
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,2,B,C,33,44,2,0.045454545454545456,5,0.11363636363636363,6,0.13636363636363635,10,0.22727272727272727,0,0.0,1,0.022727272727272728,3,0.06818181818181818,4,0.09090909090909091
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,2,C,A,36,35,4,0.11428571428571428,7,0.2,3,0.08571428571428572,13,0.37142857142857144,2,0.05714285714285714,3,0.08571428571428572,2,0.05714285714285714,7,0.2
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,2,C,B,36,34,1,0.029411764705882353,8,0.23529411764705882,4,0.11764705882352941,13,0.38235294117647056,1,0.029411764705882353,6,0.17647058823529413,2,0.058823529411764705,9,0.2647058823529412
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,1,A,B,30,41,5,0.12195121951219512,3,0.07317073170731707,2,0.04878048780487805,6,0.14634146341463414,2,0.04878048780487805,2,0.04878048780487805,0,0.0,4,0.0975609756097561
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,1,A,C,30,60,3,0.05,3,0.05,7,0.11666666666666667,12,0.2,3,0.05,2,0.03333333333333333,7,0.11666666666666667,11,0.18333333333333332
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,1,B,A,7,53,1,0.018867924528301886,2,0.03773584905660377,2,0.03773584905660377,5,0.09433962264150944,1,0.018867924528301886,2,0.03773584905660377,2,0.03773584905660377,5,0.09433962264150944
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,1,B,C,7,60,2,0.03333333333333333,3,0.05,1,0.016666666666666666,4,0.06666666666666667,2,0.03333333333333333,3,0.05,1,0.016666666666666666,4,0.06666666666666667
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,1,C,A,2,53,0,0.0,0,0.0,1,0.018867924528301886,1,0.018867924528301886,0,0.0,0,0.0,0,0.0,0,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,1,C,B,2,41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,2,A,B,53,43,7,0.16279069767441862,5,0.11627906976744186,8,0.18604651162790697,14,0.32558139534883723,5,0.11627906976744186,5,0.11627906976744186,6,0.13953488372093023,11,0.2558139534883721
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,2,A,C,53,44,3,0.06818181818181818,8,0.18181818181818182,9,0.20454545454545456,14,0.3181818181818182,1,0.022727272727272728,5,0.11363636363636363,4,0.09090909090909091,10,0.22727272727272727
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,2,B,A,41,53,2,0.03773584905660377,2,0.03773584905660377,7,0.1320754716981132,10,0.18867924528301888,0,0.0,2,0.03773584905660377,5,0.09433962264150944,7,0.1320754716981132
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,2,B,C,41,44,0,0.0,2,0.045454545454545456,8,0.18181818181818182,9,0.20454545454545456,0,0.0,1,0.022727272727272728,6,0.13636363636363635,7,0.1590909090909091
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,2,C,A,60,53,15,0.2830188679245283,7,0.1320754716981132,8,0.1509433962264151,27,0.5094339622641509,13,0.24528301886792453,5,0.09433962264150944,6,0.11320754716981132,23,0.4339622641509434
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,2,C,B,60,43,5,0.11627906976744186,2,0.046511627906976744,11,0.2558139534883721,17,0.3953488372093023,5,0.11627906976744186,2,0.046511627906976744,8,0.18604651162790697,14,0.32558139534883723
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,1,A,B,41,67,0,0.0,0,0.0,6,0.08955223880597014,6,0.08955223880597014,0,0.0,0,0.0,5,0.07462686567164178,5,0.07462686567164178
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,1,A,C,41,73,1,0.0136986301369863,8,0.1095890410958904,2,0.0273972602739726,9,0.1232876712328767,1,0.0136986301369863,8,0.1095890410958904,2,0.0273972602739726,9,0.1232876712328767
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,1,B,A,31,40,0,0.0,1,0.025,2,0.05,3,0.075,0,0.0,1,0.025,2,0.05,3,0.075
