condition,source_round,sender,receiver,n,raw,screened
full-generic,1,A,B,10,0.40349722421268247,0.2572749549432176
full-generic,1,A,C,10,0.32589371201820494,0.20251155031580995
full-generic,1,B,A,10,0.3417206133730722,0.17490507994971943
full-generic,1,B,C,10,0.39484732925402294,0.25580864242248624
full-generic,1,C,A,10,0.3318437514487706,0.18027132481080466
full-generic,1,C,B,10,0.35077730730535106,0.19154305546508008
full-generic,2,A,B,10,0.4644049226253464,0.21288697929657083
full-generic,2,A,C,10,0.43780246177345566,0.21295771012340264
full-generic,2,B,A,10,0.4897949466386498,0.25178186100000194
full-generic,2,B,C,10,0.5123974744062555,0.25403988118358695
full-generic,2,C,A,10,0.41473688381034707,0.22174730282863717
full-generic,2,C,B,10,0.4209379666649625,0.2400206411210187
full-specialist,1,A,B,10,0.34095632633893774,0.22317021935600426
full-specialist,1,A,C,10,0.33688074478165314,0.22038523823482617
full-specialist,1,B,A,10,0.3601524354589318,0.245308095000385
full-specialist,1,B,C,10,0.3202379634437499,0.18930127606906827
full-specialist,1,C,A,10,0.40077703557393407,0.24694848203315925
full-specialist,1,C,B,10,0.43587427154174935,0.2777818292296439
full-specialist,2,A,B,10,0.4553216187407364,0.22775347609906432
full-specialist,2,A,C,10,0.4704857252006459,0.21152277727862664
full-specialist,2,B,A,10,0.48412771881059535,0.25008523613180417
full-specialist,2,B,C,10,0.46671017404687676,0.21437834247709928
full-specialist,2,C,A,10,0.498673212729725,0.25481881547185936
full-specialist,2,C,B,10,0.5020991535697418,0.22604925711543358
split-generic,1,A,B,10,0.1739754685504327,0.1604232375663509
split-generic,1,A,C,10,0.16987611599823876,0.1682094493315721
split-generic,1,B,A,10,0.15662114462237597,0.13897408579884657
split-generic,1,B,C,10,0.11061988061668368,0.11061988061668368
split-generic,1,C,A,10,0.008276244785487389,0.006389452332657201
split-generic,1,C,B,10,0.006734006734006734,0.006734006734006734
split-generic,2,A,B,10,0.390837179207179,0.2456033659970756
split-generic,2,A,C,10,0.3430947906529302,0.20741319619226598
split-generic,2,B,A,10,0.37518726031211275,0.25192150891797244
split-generic,2,B,C,10,0.35582368535856906,0.24025048379699543
split-generic,2,C,A,10,0.42005034280287384,0.29038600654776947
split-generic,2,C,B,10,0.41093123823974925,0.2552335297013997
split-specialist-aligned,1,A,B,10,0.12114994269163466,0.09540990206093107
split-specialist-aligned,1,A,C,10,0.18124461475451026,0.18124461475451026
split-specialist-aligned,1,B,A,10,0.17123527184739998,0.1432764617787501
split-specialist-aligned,1,B,C,10,0.15249728190120018,0.15249728190120018
split-specialist-aligned,1,C,A,10,0.008554655870445344,0.0019230769230769232
split-specialist-aligned,1,C,B,10,0.0323596104530144,0.02446066673317516
split-specialist-aligned,2,A,B,10,0.2250607670140135,0.13521923931377355
split-specialist-aligned,2,A,C,10,0.25876731450274465,0.12823438191985834
split-specialist-aligned,2,B,A,10,0.2680234232529785,0.18105207561448594
split-specialist-aligned,2,B,C,10,0.2939678927301499,0.20022390930069006
split-specialist-aligned,2,C,A,10,0.3796252647400424,0.24704865435855392
split-specialist-aligned,2,C,B,10,0.41908995084374234,0.2927842177026184
