execution_id,case_id,condition,round,pair,n_i,n_j,cluster_jaccard,equivalent_coverage,related_coverage
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,1,AB,50,35,0.08974358974358974,0.21857142857142856,0.5428571428571429
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,1,AC,50,36,0.14666666666666667,0.2627777777777778,0.49777777777777776
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,1,BC,35,36,0.12698412698412698,0.22539682539682537,0.5075396825396825
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,AB,54,42,0.03225806451612903,0.08465608465608465,0.4087301587301587
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,AC,54,52,0.0707070707070707,0.14173789173789175,0.37784900284900286
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,BC,42,52,0.08045977011494253,0.13873626373626374,0.34935897435897434
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,3,AB,48,35,0.05063291139240506,0.07410714285714286,0.4407738095238095
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,3,AC,48,40,0.060240963855421686,0.16041666666666665,0.5166666666666666
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,3,BC,35,40,0.08695652173913043,0.2142857142857143,0.4125
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,1,AB,43,50,0.12048192771084337,0.19465116279069766,0.43255813953488376
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,1,AC,43,43,0.10256410256410256,0.1744186046511628,0.4883720930232558
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,1,BC,50,43,0.08139534883720931,0.10813953488372094,0.3344186046511628
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,2,AB,29,33,0.05084745762711865,0.09717868338557994,0.3218390804597701
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,2,AC,29,36,0.031746031746031744,0.09339080459770115,0.3007662835249042
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,2,BC,33,36,0.045454545454545456,0.10227272727272727,0.3926767676767677
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,3,AB,35,34,0.045454545454545456,0.05798319327731093,0.24663865546218489
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,3,AC,35,44,0.06756756756756757,0.1538961038961039,0.33051948051948055
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-12,full-specialist,3,BC,34,44,0.05405405405405406,0.05213903743315508,0.3355614973262032
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,1,AB,30,7,0.0,0.22619047619047616,0.30952380952380953
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,1,AC,30,2,0.0,0.26666666666666666,0.5333333333333333
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,1,BC,7,2,0.0,0.0,0.5714285714285714
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,2,AB,53,41,0.010752688172043012,0.08651633686148183,0.2528762080073631
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,2,AC,53,60,0.018018018018018018,0.03553459119496855,0.29150943396226414
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-12,split-generic,2,BC,41,60,0.030612244897959183,0.061585365853658536,0.15589430894308942
